Claim_ID,Policy_ID,Program_ID,Treaty_ID,Claim_Date,Claim_Status,Claim_Amount
CLM000001,POL03856,PRG013,TRT022,2026-01-26,Pending,70633.27
CLM000002,POL00962,PRG012,TRT058,2026-07-11,Closed,28176.29
CLM000003,POL02069,PRG003,TRT078,2026-05-05,Open,296867.06
CLM000004,POL04304,PRG007,TRT085,2026-06-18,Open,139952.58
CLM000005,POL06233,PRG002,TRT019,2026-04-07,Pending,279682.97
CLM000006,POL09006,PRG004,TRT028,2026-04-22,Closed,239226.7
CLM000007,POL08836,PRG011,TRT015,2026-02-16,Open,193092.07
CLM000008,POL09667,PRG007,TRT081,2026-08-16,Open,192531.4
CLM000009,POL04056,PRG019,TRT043,2026-05-04,Pending,207133.22
CLM000010,POL03157,PRG025,TRT095,2026-02-02,Pending,76589.43
CLM000011,POL08289,PRG010,TRT036,2026-01-18,Closed,7489.34
CLM000012,POL00534,PRG015,TRT013,2026-06-10,Closed,91852.48
CLM000013,POL05350,PRG023,TRT062,2026-06-01,Open,10782.77
CLM000014,POL02163,PRG009,TRT027,2026-06-22,Open,145808.14
CLM000015,POL06933,PRG023,TRT002,2026-03-01,Pending,192001.59
CLM000016,POL06071,PRG001,TRT090,2026-07-24,Pending,24978.86
CLM000017,POL01359,PRG018,TRT045,2026-01-26,Closed,73005.3
CLM000018,POL07951,PRG005,TRT038,2026-07-25,Open,208092.33
CLM000019,POL03756,PRG013,TRT045,2026-05-13,Open,78662.26
CLM000020,POL01623,PRG008,TRT098,2026-07-06,Open,197856.08
CLM000021,POL00101,PRG003,TRT017,2026-04-19,Open,135841.6
CLM000022,POL06046,PRG014,TRT091,2026-04-28,Open,193712.53
CLM000023,POL09757,PRG004,TRT041,2026-08-12,Open,33973.6
CLM000024,POL04623,PRG017,TRT013,2026-07-12,Pending,138250.97
CLM000025,POL05190,PRG022,TRT007,2026-06-13,Closed,261387.63
CLM000026,POL05935,PRG003,TRT055,2026-05-08,Pending,209472.49
CLM000027,POL03271,PRG004,TRT007,2026-03-26,Closed,279850.4
CLM000028,POL08216,PRG007,TRT078,2026-04-01,Open,46386.09
CLM000029,POL02857,PRG005,TRT008,2026-07-08,Closed,184833.2
CLM000030,POL08486,PRG008,TRT001,2026-04-20,Closed,279702.17
CLM000031,POL09513,PRG001,TRT061,2026-06-30,Open,176246.23
CLM000032,POL03289,PRG011,TRT053,2026-08-21,Pending,197249.91
CLM000033,POL07246,PRG014,TRT029,2026-04-20,Open,75316.78
CLM000034,POL05761,PRG016,TRT054,2026-04-24,Closed,239845.74
CLM000035,POL02724,PRG001,TRT023,2026-05-09,Open,109569.65
CLM000036,POL05063,PRG016,TRT062,2026-01-12,Closed,253767.78
CLM000037,POL07530,PRG025,TRT038,2026-07-12,Pending,243130.84
CLM000038,POL09036,PRG023,TRT020,2026-08-17,Pending,7030.85
CLM000039,POL02385,PRG007,TRT003,2026-07-13,Open,278818.69
CLM000040,POL02884,PRG001,TRT077,2026-07-14,Open,213237.59
CLM000041,POL08243,PRG019,TRT094,2026-01-31,Open,263516.51
CLM000042,POL01570,PRG022,TRT003,2026-06-03,Pending,98671.77
CLM000043,POL01919,PRG020,TRT069,2026-08-16,Closed,275407.02
CLM000044,POL02521,PRG021,TRT041,2026-07-12,Pending,209510.68
CLM000045,POL03543,PRG006,TRT076,2026-01-10,Open,55789.63
CLM000046,POL05501,PRG009,TRT075,2026-07-11,Closed,1113.8
CLM000047,POL05534,PRG002,TRT016,2026-01-16,Closed,2622.71
CLM000048,POL08616,PRG021,TRT094,2026-07-29,Closed,122814.07
CLM000049,POL02221,PRG009,TRT024,2026-06-05,Pending,76607.13
CLM000050,POL05435,PRG002,TRT027,2026-02-26,Closed,265448.96
CLM000051,POL04238,PRG002,TRT027,2026-04-17,Pending,12521.23
CLM000052,POL04678,PRG015,TRT027,2026-03-07,Open,285285.71
CLM000053,POL09460,PRG004,TRT026,2026-03-10,Closed,96708.22
CLM000054,POL00086,PRG025,TRT055,2026-04-12,Pending,192686.29
CLM000055,POL08330,PRG020,TRT035,2026-02-22,Open,243864.91
CLM000056,POL06224,PRG025,TRT027,2026-07-08,Closed,215835.23
CLM000057,POL00725,PRG016,TRT080,2026-07-25,Pending,243242.59
CLM000058,POL03362,PRG017,TRT054,2026-03-02,Open,15181.05
CLM000059,POL07374,PRG010,TRT098,2026-03-10,Open,36666.84
CLM000060,POL04341,PRG008,TRT081,2026-05-24,Pending,181949.46
CLM000061,POL07827,PRG013,TRT071,2026-07-24,Closed,99501.63
