Policy_ID,Program_ID,Treaty_ID,Effective_Date,Expiry_Date,Premium,Region,Risk_Category
POL00001,PRG011,TRT004,2025-05-09,2026-04-10,59572.33,South,Critical
POL00002,PRG025,TRT050,2025-06-15,2026-03-15,60377.07,West,Critical
POL00003,PRG004,TRT011,2026-07-13,2028-01-05,315536.78,North,Critical
POL00004,PRG010,TRT059,2026-07-23,2027-04-27,143973.77,East,Medium
POL00005,PRG019,TRT037,2026-12-20,2027-07-04,292946.39,East,Critical
POL00006,PRG013,TRT010,2026-12-28,2028-10-23,176092.94,West,High
POL00007,PRG015,TRT040,2025-12-17,2027-09-26,62992.35,North,Medium
POL00008,PRG016,TRT017,2025-04-01,2026-08-11,233754.19,East,Low
POL00009,PRG008,TRT018,2026-03-08,2028-01-22,56082.56,South,High
POL00010,PRG008,TRT018,2026-12-01,2028-11-29,383901.41,East,Critical
POL00011,PRG022,TRT046,2025-08-30,2026-05-13,461338.05,East,Low
POL00012,PRG018,TRT061,2026-06-24,2027-02-19,72941.7,West,High
POL00013,PRG018,TRT096,2025-10-12,2027-06-27,455392.82,West,Medium
POL00014,PRG017,TRT067,2025-05-30,2026-08-23,403509.23,North,Medium
POL00015,PRG019,TRT051,2025-01-05,2025-07-13,454048.55,South,Critical
POL00016,PRG019,TRT100,2025-12-06,2026-12-15,197866.31,North,High
POL00017,PRG020,TRT062,2025-11-20,2027-02-12,164032.64,South,Low
POL00018,PRG025,TRT080,2025-07-16,2026-03-05,384451.25,West,High
POL00019,PRG020,TRT021,2025-04-29,2025-11-16,35034.55,West,Medium
POL00020,PRG022,TRT032,2026-08-03,2027-02-19,455656.02,East,High
POL00021,PRG017,TRT099,2026-02-25,2027-03-18,435560.34,East,Critical
POL00022,PRG012,TRT063,2026-04-22,2028-03-12,168654.51,North,Low
POL00023,PRG005,TRT023,2026-01-24,2028-01-12,49248.93,West,Medium
POL00024,PRG016,TRT063,2026-08-30,2027-03-26,101010.0,East,Medium
POL00025,PRG012,TRT076,2026-06-23,2027-06-04,183638.67,East,Critical
POL00026,PRG008,TRT018,2025-05-28,2026-03-07,296680.14,West,Low
POL00027,PRG002,TRT067,2025-06-20,2026-08-31,277151.35,South,Critical
POL00028,PRG020,TRT038,2025-08-01,2026-09-24,126392.63,South,Low
POL00029,PRG011,TRT022,2026-02-12,2026-09-21,95669.23,East,High
POL00030,PRG001,TRT070,2025-06-13,2026-04-09,18995.76,South,Critical
POL00031,PRG022,TRT010,2026-01-07,2026-10-12,266643.21,North,High
POL00032,PRG001,TRT001,2025-09-09,2027-08-10,418364.6,East,Critical
POL00033,PRG010,TRT093,2026-04-29,2028-04-16,48396.47,South,Low
POL00034,PRG007,TRT024,2026-09-17,2027-10-01,146555.5,South,High
POL00035,PRG012,TRT057,2025-04-13,2026-08-01,319954.52,East,Critical
POL00036,PRG019,TRT008,2026-12-31,2028-09-29,19213.32,North,Critical
POL00037,PRG003,TRT086,2026-07-16,2027-12-29,132644.12,East,High
POL00038,PRG018,TRT050,2025-05-21,2027-05-06,15699.08,North,Critical
POL00039,PRG017,TRT043,2026-02-22,2027-07-26,70490.06,South,High
POL00040,PRG001,TRT005,2026-01-26,2027-09-27,374136.76,West,High
POL00041,PRG003,TRT018,2025-10-27,2026-06-03,14421.45,North,Critical
POL00042,PRG023,TRT094,2026-11-03,2027-12-15,224404.86,North,Medium
POL00043,PRG020,TRT067,2025-02-06,2026-12-05,166159.06,West,Critical
POL00044,PRG017,TRT085,2026-03-30,2026-11-29,356819.23,West,Critical
POL00045,PRG009,TRT037,2025-08-15,2026-08-27,205065.96,South,High
POL00046,PRG001,TRT009,2025-10-31,2027-06-07,255196.25,North,Critical
POL00047,PRG015,TRT029,2026-12-08,2028-02-13,280409.24,South,Low
POL00048,PRG011,TRT018,2026-09-10,2027-03-28,37766.07,South,Critical
POL00049,PRG006,TRT084,2026-06-07,2027-12-26,357790.6,South,High
POL00050,PRG008,TRT070,2026-08-10,2027-02-15,439064.92,North,High
POL00051,PRG018,TRT090,2025-10-29,2026-12-22,157853.41,North,Low
POL00052,PRG012,TRT096,2026-09-15,2027-04-23,258390.63,East,Critical
POL00053,PRG012,TRT057,2025-03-30,2026-11-12,351720.57,South,Critical
POL00054,PRG011,TRT096,2025-07-15,2026-07-22,224921.77,East,Critical
POL00055,PRG003,TRT046,2026-09-18,2028-06-14,395287.72,South,Critical
POL00056,PRG024,TRT081,2025-01-22,2026-08-09,71442.1,West,Medium
POL00057,PRG006,TRT046,2025-01-01,2026-10-30,455746.44,South,High
POL00058,PRG021,TRT015,2025-02-25,2026-02-05,439593.94,North,Medium
POL00059,PRG010,TRT077,2026-11-19,2027-06-07,173762.95,West,High
POL00060,PRG011,TRT021,2025-09-14,2027-07-07,170902.69,West,Low
POL00061,PRG018,TRT084,2026-01-27,2027-12-15,108446.92,West,Low
POL00062,PRG013,TRT088,2025-05-04,2026-09-25,413450.52,West,High
POL00063,PRG008,TRT098,2026-12-21,2028-05-03,242154.46,East,Low
POL00064,PRG007,TRT082,2026-02-05,2026-08-13,277037.92,North,Critical
POL00065,PRG025,TRT060,2026-02-25,2027-06-02,94097.66,West,Low
POL00066,PRG001,TRT071,2025-04-18,2026-10-09,213498.45,West,Medium
POL00067,PRG009,TRT094,2025-09-29,2026-07-10,194144.26,East,Critical
POL00068,PRG005,TRT048,2026-05-30,2027-01-24,111085.81,East,High
POL00069,PRG004,TRT049,2026-04-21,2027-06-19,286308.05,West,Low
POL00070,PRG008,TRT092,2026-09-21,2028-04-22,443272.8,North,Low
POL00071,PRG023,TRT026,2026-04-02,2026-12-09,187929.29,East,Low
POL00072,PRG020,TRT078,2026-02-07,2026-08-28,433597.42,South,Medium
POL00073,PRG006,TRT088,2025-05-09,2027-02-25,414526.18,West,Low
POL00074,PRG018,TRT098,2025-03-15,2025-11-17,173827.79,North,Medium
POL00075,PRG021,TRT011,2026-11-29,2027-07-20,275994.41,West,Medium
POL00076,PRG013,TRT030,2025-09-21,2026-12-12,239512.77,West,Critical
