Transaction_ID,Policy_ID,Program_ID,Treaty_ID,Transaction_Type,Transaction_Date,Premium_Amount
TXN000001,POL00579,PRG005,TRT054,New Business,2026-07-15,195052.86
TXN000002,POL00086,PRG025,TRT055,Renewal,2026-05-13,358120.82
TXN000003,POL05962,PRG001,TRT058,Adjustment,2026-01-25,313347.66
TXN000004,POL02818,PRG005,TRT015,New Business,2026-03-04,83264.21
TXN000005,POL03800,PRG018,TRT090,New Business,2026-07-15,371705.65
TXN000006,POL01628,PRG024,TRT037,New Business,2026-04-17,466075.62
TXN000007,POL01450,PRG018,TRT003,New Business,2026-04-17,121028.97
TXN000008,POL02419,PRG017,TRT043,Renewal,2026-02-05,117810.59
TXN000009,POL00293,PRG009,TRT089,Adjustment,2026-08-06,282798.81
TXN000010,POL03132,PRG001,TRT089,Renewal,2026-01-02,296254.6
TXN000011,POL00809,PRG009,TRT063,Adjustment,2026-07-15,443444.74
TXN000012,POL00955,PRG020,TRT053,Adjustment,2026-03-02,157308.92
TXN000013,POL03265,PRG015,TRT046,Renewal,2026-03-12,244115.14
TXN000014,POL05297,PRG017,TRT075,New Business,2026-05-03,478010.42
TXN000015,POL04190,PRG001,TRT097,Renewal,2026-07-05,325687.44
TXN000016,POL09079,PRG012,TRT068,Adjustment,2026-05-14,72584.87
TXN000017,POL07333,PRG004,TRT074,Adjustment,2026-06-30,6357.37
TXN000018,POL00829,PRG011,TRT023,Adjustment,2026-02-05,66335.35
TXN000019,POL04630,PRG017,TRT039,Adjustment,2026-01-31,217074.52
TXN000020,POL03366,PRG002,TRT012,New Business,2026-06-20,408821.25
TXN000021,POL04600,PRG008,TRT099,New Business,2026-01-16,11822.22
TXN000022,POL00571,PRG020,TRT035,New Business,2026-05-23,114726.37
TXN000023,POL04397,PRG011,TRT007,Renewal,2026-05-13,124331.93
TXN000024,POL09128,PRG022,TRT093,Adjustment,2026-05-29,29513.94
TXN000025,POL09260,PRG003,TRT021,Renewal,2026-05-20,349861.26
TXN000026,POL09793,PRG014,TRT017,New Business,2026-07-14,234166.58
TXN000027,POL05573,PRG022,TRT075,Adjustment,2026-05-16,424209.75
TXN000028,POL02576,PRG018,TRT041,Renewal,2026-07-13,413994.98
TXN000029,POL05868,PRG020,TRT091,New Business,2026-08-28,173078.94
TXN000030,POL03402,PRG004,TRT057,Adjustment,2026-03-24,49745.78
TXN000031,POL07440,PRG025,TRT014,Adjustment,2026-08-11,197375.72
TXN000032,POL07146,PRG006,TRT003,Adjustment,2026-03-27,292491.73
TXN000033,POL06226,PRG016,TRT068,Renewal,2026-04-21,198332.52
TXN000034,POL08189,PRG013,TRT054,Renewal,2026-01-29,270164.01
TXN000035,POL03048,PRG004,TRT056,Renewal,2026-01-11,355633.55
TXN000036,POL06459,PRG001,TRT021,Renewal,2026-05-24,484852.73
TXN000037,POL02517,PRG019,TRT070,Renewal,2026-06-15,299185.8
TXN000038,POL04076,PRG025,TRT017,Adjustment,2026-02-19,320543.43
TXN000039,POL05951,PRG005,TRT025,Adjustment,2026-05-13,367648.7
TXN000040,POL00115,PRG003,TRT078,Adjustment,2026-04-17,297031.95
TXN000041,POL06146,PRG012,TRT064,New Business,2026-08-02,108286.96
TXN000042,POL02356,PRG021,TRT055,New Business,2026-05-14,398497.81
TXN000043,POL02437,PRG016,TRT011,Adjustment,2026-07-29,230208.87
TXN000044,POL07077,PRG005,TRT086,Renewal,2026-03-13,369857.32
TXN000045,POL09462,PRG010,TRT004,Adjustment,2026-01-05,245481.74
TXN000046,POL07719,PRG021,TRT035,New Business,2026-07-27,170875.58
TXN000047,POL02231,PRG004,TRT007,Renewal,2026-04-07,359291.54
TXN000048,POL05402,PRG010,TRT082,Adjustment,2026-02-11,61825.23
